label,accession,location,country,zone,Date,host,Clade,Authors,Institute
OP535326|MPXV|Nigeria|Oyo|2018-06,OP535326,Oyo,Nigeria,SouthWest,2018-06,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535327|MPXV|Nigeria|Rivers|2018-03,OP535327,Rivers,Nigeria,SouthSouth,2018-03,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535328|MPXV|Nigeria|Rivers|2018-03,OP535328,Rivers,Nigeria,SouthSouth,2018-03,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535329|MPXV|Nigeria|Rivers|2018-03,OP535329,Rivers,Nigeria,SouthSouth,2018-03,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535330|MPXV|Nigeria|Imo|2018-02,OP535330,Imo,Nigeria,SouthEast,2018-02,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535331|MPXV|Nigeria|Oyo|2018-01,OP535331,Oyo,Nigeria,SouthWest,2018-01,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535332|MPXV|Nigeria|Oyo|2018-01,OP535332,Oyo,Nigeria,SouthWest,2018-01,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535333|MPXV|Nigeria|Oyo|2018-01,OP535333,Oyo,Nigeria,SouthWest,2018-01,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535334|MPXV|Nigeria|Rivers|2018-02,OP535334,Rivers,Nigeria,SouthSouth,2018-02,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP535335|MPXV|Nigeria|Bayelsa|2017-10,OP535335,Bayelsa,Nigeria,SouthSouth,2017-10,Homo sapiens,CladeIIb,"Nnaemeka,N., Akanbi,O., Chukwu,C., Ayansola,O., Ahmad,A., Yinka-Ogunleye,A., Akinpelu,A., Babatunde,O., Ihekweazu,C., Adetifa,I., Mauldin,M.R., Gigante,C.M., Batra,D., Weigand,M.R., Howard,D.T., Sheth,M., Seabolt,M.H. and Li,Y","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
