label,accession,location,country,zone,Date,host,Clade,Authors,Institute
OP612678|MPXV|Nigeria|Rivers|2019-11-02,OP612678,Rivers,Nigeria,SouthSouth,02/11/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612679|MPXV|Nigeria|Delta|2019-03-14,OP612679,Delta,Nigeria,SouthSouth,14/03/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612680|MPXV|Nigeria|Lagos|2019-04-01,OP612680,Lagos,Nigeria,SouthWest,01/04/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612681|MPXV|Nigeria|Bayelsa|2019-04-20,OP612681,Bayelsa,Nigeria,SouthSouth,20/04/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612682|MPXV|Nigeria|Bayelsa|2019-04-20,OP612682,Bayelsa,Nigeria,SouthSouth,20/04/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612683|MPXV|Nigeria|Delta|2019-04-18,OP612683,Delta,Nigeria,SouthSouth,18/04/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612684|MPXV|Nigeria|Lagos|2019-05-10,OP612684,Lagos,Nigeria,SouthWest,10/05/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612685|MPXV|Nigeria|Delta|2019-05-29,OP612685,Delta,Nigeria,SouthSouth,29/05/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612686|MPXV|Nigeria|Delta|2019-06-26,OP612686,Delta,Nigeria,SouthSouth,26/06/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612687|MPXV|Nigeria|Enugu|2019-07-11,OP612687,Enugu,Nigeria,SouthEast,11/07/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612688|MPXV|Nigeria|Oyo|2019-10-07,OP612688,Oyo,Nigeria,SouthWest,07/10/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
OP612689|MPXV|Nigeria|Rivers|2019-12-17,OP612689,Rivers,Nigeria,SouthSouth,17/12/2019,Homo sapiens,CladeIIb,"Ndodo,N., Ashcroft,J., Lewandowski,K., Yinka- Ogunleye,A., Chukwu,C., Ahmad,A., King,D., Akinpelu,A., Maluquer de Motes,C., Ribeca,P., Summer,R.P., Rambaut,A., Chester,M., Maishman,T., Babatunde,O., Mba,N., Babatunde,O., Aruna,O., Pullan,S.T., Gannon,B., Brown,C., Ihekweazu,C., Adetifa,I. and Ulaeto,D.O.","Nigeria Centre for Disease Control, National Reference Laboratory, Gaduwa, Federal Capital Territory, Abuja | Defence Science and Technology Laboratory, Porton Down, Salisbury SP4 0JQ, Wiltshire"
