Taxa,Region
TRM277_MPXV_Nigeria_AMAC_FCT_2022-09-30,NC
TRM308_MPXV_Nigeria_AMAC_FCT_2022-10-02,NC
VSP215_AMAC_FCT_NG_2023-05-31,NC
VSP214_AMAC_FCT_NG_2023-05-31,NC
TRM312_MPXV_Nigeria_Gombe_2022,NE
OP612690_MPXV_Nigeria_Imo_2019-12-17,SE
VSP212_OWERRMUNICIPAL_IMO_NG_2023-04-17,SE
OP535316_MPXV_Nigeria_Imo_2018-02,SE
OP535330_MPXV_Nigeria_Imo_2018-02,SE
OP535324_MPXV_Nigeria_Imo_2018-02,SE
OP535315_MPXV_Nigeria_Imo_2018-02,SE
VSP195_ONEAST_IMO_NG_2022-01-01,SE
TRM306_MPXV_Nigeria_Inhette-Udoma_IMO_2022,SE
TRM302_MPXV_Nigeria_ISU_IMO_2022-10-14,SE
TRM278_MPXV_Nigeria_ISU_IMO_2022-09-20,SE
TRM317_MPXV_Nigeria_Mbatoli_IMO_2022,SE
TRM303_MPXV_Nigeria_Njaba_IMO_2022,SE
TRM313_MPXV_Nigeria_Owerri_IMO_2022-10-24,SE
TRM281_MPXV_Nigeria_Owerri_IMO_2022-10-11,SE
TRM354_MPXV_Nigeria_Owerri-Nth_IMO_2022,SE
EPI_ISL_13953610_MPXV_India_ex_UAE_2022-07-13,Rest
EPI_ISL_13953611_MPXV_India_ex_UAE_2022-07-16,Rest
EPI_ISL_15008577_MPXV_India_2022-08-11,Rest
MN648051_MPXV_Israel_ex_Nigeria_2018-10-04,Rest
TRM343_MPXV_Nigeria_Chikun_KADUNA_2022-10-26,NW
TRM360_MPXV_Nigeria_Chikun_KADUNA_2022,NW
TRM333_MPXV_Nigeria_Chikun_KADUNA_2022-10-24,NW
VSP194_KADUNSOUTH_KADUNA_NG_2022-01-01,NW
TRM284_MPXV_Nigeria_Kaduna-Sth_KADUNA_2022-10-30,NW
TRM334_MPXV_Nigeria_Kiru_KANO_2022-11-02,NW
TRM315_MPXV_Nigeria_Lokoja_KOGI_2022-09-18,NC
TRM275_MPXV_Nigeria_A37Ilorin-Sth_KWARA_2022-09-15,NC
TRM335_MPXV_Nigeria_Alimosho_LAGOS_2022-09-12,SW
TRM350_MPXV_Nigeria_Alimosho_LAGOS_2022-09-30,SW
TRM295_MPXV_Nigeria_Alimosho_LAGOS_2022-09-18,SW
TRM358_MPXV_Nigeria_Ebute-meta_LAGOS_2022-09-23,SW
TRM328_MPXV_Nigeria_Epe_LAGOS_2022,SW
TRM318_MPXV_Nigeria_Epe_LAGOS_2022-09-22,SW
TRM285_MPXV_Nigeria_Ifeko-Ijaye_LAGOS_2022-09-16,SW
TRM355_MPXV_Nigeria_Ikeja_LAGOS_2022-09-13,SW
TRM325_MPXV_Nigeria_Ikorodu_LAGOS_2022-09-14,SW
MT903338_MPXV_Nigeria_Lagos_2018,SW
OP535317_MPXV_Nigeria_Lagos_2018-01,SW
TRM340_MPXV_Nigeria_Lagos_2022-09-29,SW
TRM346_MPXV_Nigeria_LAGOS_2022-09-20,SW
OP612680_MPXV_Nigeria_Lagos_2019-04-01,SW
OP612684_MPXV_Nigeria_Lagos_2019-05-10,SW
TRM338_MPXV_Nigeria_Ojo_LAGOS_2022,SW
TRM082_MPXV_Nigeria_Lafia_NASSARAWA_2022-11-01,NC
TRM322_MPXV_Nigeria_Nassarawa_2022-10-13,NC
OP612691_MPXV_Nigeria_2020-01-23,nigeria
OP535313_MPXV_Nigeria_2018-01,nigeria
OP535325_MPXV_Nigeria_2018-06,nigeria
VSP202_NA_NA_NG_2023-02-21,nigeria
VSP206_TAFA_NIGER_NG_2023-03-15,nigeria
TRM323_MPXV_Nigeria_Abeokuta-Sth_OGUN_2022,SW
TRM365_MPXV_Nigeria_Ijebu-ode_OGUN_2022-09-14,SW
TRM310_MPXV_Nigeria_Remo-Nth_OGUN_2022-09-30,SW
TRM321_MPXV_Nigeria_Ioha_ONDO_2022-10-05,SW
OP535333_MPXV_Nigeria_Oyo_2018-01,SW
OP535331_MPXV_Nigeria_Oyo_2018-01,SW
OP535332_MPXV_Nigeria_Oyo_2018-01,SW
OP612688_MPXV_Nigeria_Oyo_2019-10-07,SW
OP535326_MPXV_Nigeria_Oyo_2018-06,SW
KJ642615_MPXV_Nigeria_Oyo_1978,SW
TRM353_MPXV_Nigeria_Jos-Nth_PLATEAU_2022-10-24,NC
TRM357_MPXV_Nigeria_Jos-Sth_PLATEAU_2022,NC
OP555515_PT0428_MPXV_Portugal_2022-08-01,Rest
TRM362_MPXV_Nigeria_Bonny_RIVERS_2022-10-14,S
TRM331_MPXV_Nigeria_Obilakpor_RIVERS_2022-10-06,S
TRM076_MPXV_Nigeria_Obilakpor_RIVERS_2022-09-27,S
TRM326_MPXV_Nigeria_Phalga_RIVERS_2022-09-27,S
TRM320_MPXV_Nigeria_PortHarcourt_RIVERS_2022-10-03,S
TRM351_MPXV_Nigeria_PortHarcourt_RIVERS_2022-10-12,S
NC063383_MPXV_Nigeria_Rivers_2018-08,S
MK783032_MPXV_Nigeria_Rivers_2017-11-01,S
OP612689_MPXV_Nigeria_Rivers_2019-12-17,S
VSP205_OBIOAKPOR_RIVERS_NG_2023-03-03,S
VSP208_OKRIKA_RIVERS_NG_2023-03-15,S
VSP213_OBIAKPOR_RIVERS_NG_2023-05-16,S
VSP204_NA_RIVERS_NG_2023-03-03,S
