taxa	class
egypt	Rest
FCT	NC
GEO	Region
india	Rest
israel	Rest
singapore	Rest
thailand	Rest
usa	Rest
abia	SE
akwaibom	S
anambra	SE
bayelsa	S
benue	NC
borno	NE
cameroon	Cameroon
crossriver	S
delta	S
ebonyi	SE
edo	S
enugu	SE
fct	NC
gombe	NE
imo	SE
kaduna	NW
kano	NW
kogi	NC
kwara	NC
lagos	SW
nassarawa	NC
nasarawa	NC
niger	NC
nigeria	nigeria
ogun	SW
ondo	SW
oyo	SW
plateu	NC
plateau	NC
portugal	Rest
rivers	S
uk	Rest
usa	Rest
austria	Rest
slovenia	Rest
